SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
4112016,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,5,4,0,11
4112101,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,3,0,10
4112102,0,0,0,0,0,0,0,0,0,0,5,0,8,3,0,3,5,3,0,9
4112103,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,7,3,0,8
4112104,0,0,0,0,0,0,0,0,0,3,6,0,14,0,0,0,15,14,0,30
4112105,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,7,5,0,17
4112106,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,11,3,0,8
4112107,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,3
4112108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,13
4112109,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,6,6,0,9
4112110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
4112111,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,4,0,9
4112112,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,8
4112113,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,3,3,0,7
4112114,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,3
4112115,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7
4112116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,7
4112117,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,10,15,0,24
4112118,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,6,0,9
4112201,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,21,0,24
4112202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112203,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3
4112204,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,10,12,0,20
4112205,0,0,0,0,0,0,0,0,0,4,3,0,9,6,0,8,15,10,0,24
4112206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112207,0,0,0,0,0,0,0,0,0,7,6,0,13,0,3,3,19,11,0,23
